string,dom_number,dom_x,dom_y,dom_z
88.0,54.0,62.623333,-35.0876639,-314.074662
89.0,35.0,89.415034,-58.946959400000004,-256.8685269
89.0,59.0,89.2382094,-59.123784,-328.9914731
91.0,47.0,47.415034,-57.0642906,-292.9914731
92.0,32.0,18.29,-50.9776639,-247.785338
92.0,32.0,18.2382094,-50.928716,-247.8685269
92.0,35.0,18.164966,-51.1055406,-256.8685269
93.0,21.0,14.3417906,-80.688784,-214.8685269
80.0,40.0,72.37,-66.6,-363.08
87.0,102.0,26.831633,-31.1394594,-457.8685269
87.0,105.0,27.0327531,-31.19125,-467.074662
88.0,74.0,62.571542400000006,-35.038716,-373.8685269
88.0,77.0,62.498299,-35.2155406,-382.8685269
88.0,80.0,62.571542400000006,-35.038716,-391.9914731
89.0,87.0,89.164966,-59.0505406,-412.9914731
89.0,105.0,89.29,-59.0748361,-467.074662
90.0,77.0,57.2382094,-83.559966,-382.8685269
91.0,99.0,47.29,-56.936413900000005,-448.785338
91.0,108.0,47.29,-57.0125,-476.177
92.0,81.0,18.415034,-51.1055406,-394.9914731
93.0,101.0,14.366086099999999,-80.56375,-455.074662
87.0,29.0,27.0084576,-31.316284,-238.8685269
88.0,26.0,62.748367,-35.2155406,-229.8685269
88.0,26.0,62.748367,-35.2155406,-229.9914731
93.0,29.0,14.29,-80.4876639,-239.07466200000002
93.0,35.0,14.2139139,-80.56375,-256.785338
87.0,77.0,26.956667,-31.1151639,-382.785338
87.0,95.0,26.956667,-31.1151639,-437.074662
88.0,95.0,62.498299,-35.1119594,-436.8685269
89.0,105.0,89.29,-59.0748361,-466.785338
92.0,93.0,18.164966,-51.1055406,-430.9914731
92.0,101.0,18.2382094,-51.178784,-454.9914731
24.0,15.0,-245.65,-190.49,263.19
83.0,44.0,113.19,-60.47,-392.38
89.0,57.0,89.21391390000001,-58.99875,-322.785338
89.0,65.0,89.34179060000001,-58.873716,-346.8685269
91.0,75.0,47.164966,-57.0642906,-376.9914731
90.0,89.0,57.415034,-83.6332094,-418.9914731
90.0,90.0,57.2139139,-83.685,-422.074662
93.0,86.0,14.164966,-80.6155406,-409.9914731
41.0,9.0,-526.63,-15.6,366.5
41.0,10.0,-526.63,-15.6,349.48
41.0,12.0,-526.63,-15.6,315.44
41.0,18.0,-526.63,-15.6,213.31
42.0,17.0,-403.14,3.49,229.47
42.0,19.0,-403.14,3.49,195.43
42.0,20.0,-403.14,3.49,178.41
42.0,21.0,-403.14,3.49,161.39
42.0,22.0,-403.14,3.49,144.37
42.0,24.0,-403.14,3.49,110.33
42.0,30.0,-403.14,3.49,8.2
42.0,31.0,-403.14,3.49,-8.82
43.0,18.0,-279.53,23.17,213.25
43.0,26.0,-279.53,23.17,77.09
43.0,31.0,-279.53,23.17,-8.02
43.0,32.0,-279.53,23.17,-25.04
43.0,33.0,-279.53,23.17,-42.06
43.0,34.0,-279.53,23.17,-59.08
43.0,36.0,-279.53,23.17,-93.12
51.0,14.0,-481.6,101.39,280.78
79.0,34.0,31.25,-72.93,-320.33
80.0,36.0,72.37,-66.6,-335.04
80.0,38.0,72.37,-66.6,-349.06
83.0,30.0,113.19,-60.47,-294.26
84.0,12.0,57.2,-105.52,-168.41
87.0,32.0,26.831633,-31.2430406,-247.9914731
87.0,33.0,27.0084576,-31.066216,-250.8685269
87.0,33.0,26.831633,-31.1394594,-250.8685269
88.0,95.0,62.6751236,-35.038716,-436.9914731
88.0,99.0,62.498299,-35.1119594,-448.8685269
88.0,102.0,62.6751236,-35.038716,-457.8685269
88.0,110.0,62.571542400000006,-35.288784,-481.9914731
88.0,110.0,62.6751236,-35.288784,-481.9914731
89.0,21.0,89.34179060000001,-58.873716,-214.8685269
89.0,27.0,89.415034,-59.0505406,-232.9914731
89.0,29.0,89.21391390000001,-58.99875,-238.785338
89.0,51.0,89.164966,-58.946959400000004,-304.9914731
89.0,86.0,89.34179060000001,-58.873716,-409.9914731
89.0,89.0,89.3660861,-58.99875,-418.785338
90.0,30.0,57.2382094,-83.810034,-241.9914731
90.0,37.0,57.29,-83.685,-262.683
90.0,87.0,57.415034,-83.7367906,-412.8685269
90.0,109.0,57.29,-83.685,-478.683
92.0,41.0,18.415034,-51.1055406,-274.8685269
92.0,90.0,18.2382094,-51.178784,-421.8685269
93.0,69.0,14.415033999999999,-80.5119594,-358.9914731
93.0,71.0,14.415033999999999,-80.6155406,-364.9914731
93.0,78.0,14.164966,-80.5119594,-385.9914731
83.0,15.0,113.19,-60.47,-189.13
88.0,29.0,62.748367,-35.2155406,-238.8685269
88.0,32.0,62.6751236,-35.288784,-247.9914731
90.0,42.0,57.2382094,-83.810034,-277.8685269
93.0,30.0,14.29,-80.4876639,-242.07466200000002
93.0,81.0,14.366086099999999,-80.56375,-395.074662
93.0,86.0,14.3417906,-80.688784,-409.9914731
88.0,83.0,62.623333,-35.2398361,-401.074662
88.0,86.0,62.6751236,-35.288784,-409.9914731
88.0,88.0,62.623333,-35.16375,-415.683
88.0,89.0,62.6751236,-35.038716,-418.8685269
89.0,75.0,89.3660861,-58.99875,-376.785338
79.0,29.0,31.25,-72.93,-285.28
87.0,54.0,26.9048764,-31.316284,-313.9914731
88.0,28.0,62.623333,-35.16375,-235.683
88.0,35.0,62.498299,-35.1119594,-256.8685269
88.0,35.0,62.571542400000006,-35.038716,-256.9914731
90.0,21.0,57.341790599999996,-83.810034,-214.8685269
90.0,23.0,57.164966,-83.6332094,-220.9914731
90.0,23.0,57.2382094,-83.810034,-220.9914731
90.0,32.0,57.164966,-83.7367906,-247.9914731
90.0,38.0,57.415034,-83.6332094,-265.8685269
91.0,44.0,47.341790599999996,-57.137534,-283.8685269
93.0,53.0,14.29,-80.6398361,-310.785338
93.0,69.0,14.366086099999999,-80.56375,-359.074662
87.0,89.0,27.081701,-31.2430406,-418.8685269
89.0,101.0,89.415034,-59.0505406,-454.8685269
92.0,74.0,18.164966,-51.001959400000004,-373.8685269
92.0,86.0,18.29,-50.9776639,-410.074662
92.0,92.0,18.164966,-51.1055406,-427.9914731
89.0,47.0,89.21391390000001,-58.99875,-292.785338
89.0,47.0,89.34179060000001,-59.123784,-292.8685269
89.0,51.0,89.34179060000001,-58.873716,-304.9914731
89.0,56.0,89.34179060000001,-59.123784,-319.8685269
90.0,87.0,57.415034,-83.6332094,-412.8685269
90.0,92.0,57.341790599999996,-83.559966,-427.9914731
90.0,92.0,57.3660861,-83.685,-428.074662
91.0,63.0,47.29,-57.0885861,-341.074662
88.0,10.0,62.6994191,-35.16375,297.925338
89.0,38.0,89.164966,-59.0505406,-265.8685269
89.0,41.0,89.34179060000001,-58.873716,-274.8685269
90.0,47.0,57.341790599999996,-83.559966,-292.8685269
90.0,80.0,57.341790599999996,-83.810034,-391.8685269
90.0,86.0,57.29,-83.7610861,-410.074662
91.0,10.0,47.415034,-57.0642906,298.0085269
91.0,12.0,47.341790599999996,-57.137534,248.0085269
92.0,75.0,18.29,-50.9776639,-376.785338
92.0,77.0,18.415034,-51.001959400000004,-382.8685269
88.0,87.0,62.498299,-35.2155406,-412.9914731
88.0,88.0,62.623333,-35.16375,-416.177
88.0,101.0,62.623333,-35.2398361,-454.785338
90.0,101.0,57.29,-83.6089139,-454.785338
90.0,101.0,57.2382094,-83.810034,-454.9914731
91.0,98.0,47.164966,-56.960709400000006,-445.9914731
91.0,101.0,47.29,-56.936413900000005,-454.785338
93.0,57.0,14.3417906,-80.688784,-322.9914731
93.0,59.0,14.164966,-80.6155406,-328.8685269
93.0,77.0,14.238209399999999,-80.438716,-382.8685269
93.0,98.0,14.164966,-80.6155406,-445.8685269
93.0,104.0,14.164966,-80.5119594,-463.8685269
89.0,77.0,89.21391390000001,-58.99875,-383.074662
92.0,102.0,18.3660861,-51.05375,-457.785338
93.0,78.0,14.29,-80.6398361,-386.074662
93.0,93.0,14.415033999999999,-80.6155406,-430.9914731
30.0,47.0,500.43,-58.45,-281.1
30.0,48.0,500.43,-58.45,-298.12
90.0,8.0,57.2139139,-83.685,347.925338
90.0,8.0,57.29,-83.7610861,347.925338
92.0,33.0,18.3660861,-51.05375,-250.785338
92.0,35.0,18.164966,-51.1055406,-256.9914731
92.0,83.0,18.164966,-51.1055406,-400.8685269
92.0,87.0,18.2382094,-50.928716,-412.9914731
92.0,89.0,18.164966,-51.001959400000004,-418.9914731
87.0,3.0,26.956667,-31.19125,523.317
87.0,50.0,26.9048764,-31.316284,-301.8685269
88.0,50.0,62.498299,-35.2155406,-301.9914731
88.0,56.0,62.6751236,-35.288784,-319.8685269
88.0,56.0,62.748367,-35.2155406,-319.8685269
89.0,34.0,89.29,-58.99875,-254.17700000000002
90.0,71.0,57.3660861,-83.685,-365.074662
93.0,3.0,14.238209399999999,-80.688784,523.0085269000001
93.0,3.0,14.3417906,-80.688784,523.0085269000001
93.0,4.0,14.238209399999999,-80.688784,498.1314731
93.0,4.0,14.164966,-80.5119594,498.0085269
93.0,6.0,14.3417906,-80.688784,398.1314731
93.0,39.0,14.238209399999999,-80.688784,-268.9914731
93.0,45.0,14.2139139,-80.56375,-286.785338
93.0,67.0,14.29,-80.56375,-352.683
43.0,2.0,-279.53,23.17,485.59
43.0,4.0,-279.53,23.17,451.54
43.0,5.0,-279.53,23.17,434.52
43.0,6.0,-279.53,23.17,417.5
43.0,9.0,-279.53,23.17,366.44
43.0,15.0,-279.53,23.17,264.32
44.0,9.0,-156.23,43.37,364.67
53.0,4.0,-234.95,140.44,449.0
87.0,50.0,27.081701,-31.2430406,-301.8685269
88.0,54.0,62.571542400000006,-35.038716,-313.8685269
88.0,54.0,62.498299,-35.1119594,-313.8685269
88.0,93.0,62.623333,-35.2398361,-431.074662
90.0,78.0,57.2139139,-83.685,-386.074662
90.0,86.0,57.2139139,-83.685,-409.785338
92.0,80.0,18.29,-50.9776639,-392.074662
92.0,87.0,18.164966,-51.001959400000004,-412.8685269
87.0,63.0,26.956667,-31.1151639,-340.785338
87.0,71.0,26.880580899999998,-31.19125,-364.785338
87.0,71.0,27.081701,-31.2430406,-364.9914731
87.0,86.0,26.956667,-31.2673361,-410.074662
88.0,80.0,62.6994191,-35.16375,-391.785338
89.0,70.0,89.29,-58.99875,-361.683
89.0,78.0,89.164966,-58.946959400000004,-385.9914731
91.0,65.0,47.341790599999996,-56.887466,-346.9914731
93.0,68.0,14.2139139,-80.56375,-355.785338
37.0,6.0,194.34,-30.92,418.99
37.0,8.0,194.34,-30.92,384.95
37.0,9.0,194.34,-30.92,367.93
37.0,12.0,194.34,-30.92,316.87
37.0,13.0,194.34,-30.92,299.85
37.0,14.0,194.34,-30.92,282.82
80.0,3.0,72.37,-66.6,167.57
80.0,6.0,72.37,-66.6,137.53
81.0,13.0,41.6,35.49,-171.92
81.0,14.0,41.6,35.49,-178.93
82.0,4.0,106.94,27.09,156.63
82.0,6.0,106.94,27.09,136.6
82.0,7.0,106.94,27.09,126.59
82.0,8.0,106.94,27.09,116.58
82.0,10.0,106.94,27.09,96.55
83.0,4.0,113.19,-60.47,156.29
83.0,10.0,113.19,-60.47,96.21
86.0,18.0,-10.97,6.72,-206.06
87.0,14.0,27.081701,-31.1394594,148.0085269
87.0,16.0,27.081701,-31.1394594,98.00852689999999
87.0,105.0,26.956667,-31.2673361,-466.785338
87.0,105.0,26.9048764,-31.316284,-466.8685269
89.0,7.0,89.29,-58.99875,373.317
89.0,14.0,89.415034,-58.946959400000004,148.0085269
89.0,14.0,89.29,-58.9226639,147.92533799999998
89.0,38.0,89.29,-58.9226639,-266.074662
89.0,45.0,89.415034,-59.0505406,-286.8685269
91.0,37.0,47.29,-57.0125,-263.177
91.0,62.0,47.29,-56.936413900000005,-338.074662
92.0,38.0,18.3417906,-51.178784,-265.8685269
92.0,42.0,18.213913899999998,-51.05375,-277.785338
92.0,44.0,18.164966,-51.1055406,-283.8685269
92.0,47.0,18.415034,-51.001959400000004,-292.8685269
92.0,65.0,18.2382094,-50.928716,-346.9914731
3.0,11.0,-9.13,-481.74,329.03
3.0,13.0,-9.13,-481.74,294.99
3.0,14.0,-9.13,-481.74,277.96
3.0,15.0,-9.13,-481.74,260.94
3.0,16.0,-9.13,-481.74,243.92
3.0,18.0,-9.13,-481.74,209.88
3.0,19.0,-9.13,-481.74,192.86
3.0,25.0,-9.13,-481.74,90.74
10.0,11.0,35.54,-364.83,327.51
10.0,22.0,35.54,-364.83,140.28
10.0,30.0,35.54,-364.83,4.11
10.0,31.0,35.54,-364.83,-12.91
11.0,23.0,158.94,-345.23,125.38
18.0,44.0,79.41,-248.24,-232.99
18.0,47.0,79.41,-248.24,-284.05
18.0,49.0,79.41,-248.24,-318.09
18.0,52.0,79.41,-248.24,-369.15
26.0,56.0,1.71,-150.63,-438.89
27.0,54.0,124.97,-131.25,-408.45
36.0,53.0,46.29,-34.88,-384.1
83.0,42.0,113.19,-60.47,-378.37
84.0,29.0,57.2,-105.52,-287.56
84.0,31.0,57.2,-105.52,-301.57
88.0,41.0,62.623333,-35.2398361,-275.074662
89.0,49.0,89.29,-58.99875,-299.177
89.0,53.0,89.164966,-59.0505406,-310.8685269
89.0,63.0,89.164966,-59.0505406,-340.8685269
89.0,71.0,89.21391390000001,-58.99875,-364.785338
90.0,37.0,57.29,-83.685,-263.177
90.0,48.0,57.29,-83.685,-295.683
